regime_id,side,start_ts,end_ts,bars,potential_move,atr_ratio_median,atr_ratio_max,vol_surge_median,adx28_median,V14_fixed_signal_bars,cross_slope_h1_age128_signal_bars,cross_strict_age128_signal_bars,confirm_breakout48_age128_signal_bars,confirm_breakout96_age128_signal_bars,confirm_pullback_age128_signal_bars,confirm_either_age128_signal_bars,confirm_either_strict_age128_signal_bars,cross_slope_h1_age192_signal_bars,cross_strict_age192_signal_bars,confirm_breakout48_age192_signal_bars,confirm_breakout96_age192_signal_bars,confirm_pullback_age192_signal_bars,confirm_either_age192_signal_bars,confirm_either_strict_age192_signal_bars,cross_slope_h1_age256_signal_bars,cross_strict_age256_signal_bars,confirm_breakout48_age256_signal_bars,confirm_breakout96_age256_signal_bars,confirm_pullback_age256_signal_bars,confirm_either_age256_signal_bars,confirm_either_strict_age256_signal_bars
43,short,2025-10-06 23:45:00+00:00,2025-10-13 22:30:00+00:00,668,0.5545930146357995,1.0231592224807189,2.597240724733477,-0.2122963062563324,18.39486574290177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,long,2026-05-17 10:45:00+00:00,2026-05-28 00:15:00+00:00,1015,0.4942462468002675,1.1540757926450447,1.710557066652583,-0.20158733782465477,19.01944929205847,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,long,2026-01-26 18:00:00+00:00,2026-01-31 18:15:00+00:00,482,0.46541356545141066,1.7230756648004548,2.225517178410246,0.01586056749745124,20.02377475320828,128,129,0,129,129,0,129,0,129,0,129,129,0,129,0,129,0,129,129,0,129,0
96,long,2026-03-09 11:00:00+00:00,2026-03-19 23:15:00+00:00,1010,0.40829792712759105,1.1466731899932459,1.5509597960465868,-0.20327124674693603,18.17758495721716,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,long,2025-10-23 07:00:00+00:00,2025-10-30 20:00:00+00:00,725,0.2935269581337865,1.1460099352839295,1.4924395161290323,-0.1696543406312625,15.201395222563406,69,23,0,23,23,12,23,0,23,0,23,23,12,23,0,23,0,23,23,12,23,0
33,short,2025-09-20 13:45:00+00:00,2025-09-27 22:45:00+00:00,709,0.28287715750704123,1.2612172687326064,1.4495016279043933,-0.12560148243237157,24.03519886170667,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,long,2025-08-07 15:00:00+00:00,2025-08-18 02:00:00+00:00,1005,0.259056038205558,1.0474687219553394,1.5554277673862122,-0.2205810721299084,17.725160654401968,3,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0
18,long,2025-07-09 12:15:00+00:00,2025-07-17 05:15:00+00:00,741,0.2588698086088208,1.181390118084248,1.5694394858978955,-0.15210003115064263,17.026000219297938,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,long,2025-09-03 10:15:00+00:00,2025-09-14 13:15:00+00:00,1069,0.25779848624053914,0.9881038734948522,1.7169732667799948,-0.2308808796260201,16.615190347390268,61,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
4,long,2025-06-08 05:15:00+00:00,2025-06-15 08:15:00+00:00,685,0.24729114210541203,1.2557839035195661,1.6218550400414984,-0.07461464772167203,17.757404381214805,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,long,2026-04-06 01:45:00+00:00,2026-04-19 04:45:00+00:00,1261,0.23615239124560938,1.063528726948466,1.5759983700081512,-0.242617930600718,19.975008677775985,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,short,2025-11-20 17:30:00+00:00,2025-11-26 02:30:00+00:00,517,0.2284843068187793,1.0098519199797578,1.5147856487195135,-0.24434511750661791,18.58028714932896,27,27,0,27,27,27,27,0,27,0,27,27,27,27,0,27,0,27,27,27,27,0
86,long,2026-02-02 00:15:00+00:00,2026-02-06 23:45:00+00:00,479,0.2283507293561875,1.1300388945497921,1.2602363988303606,-0.14974853428303092,12.246609595402612,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,short,2025-06-17 16:00:00+00:00,2025-06-23 20:30:00+00:00,595,0.22223619986916932,1.0649352416657873,1.2327280388185875,-0.17800878535782083,16.233249302102262,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
116,long,2026-05-29 01:30:00+00:00,2026-06-01 03:00:00+00:00,295,0.20437070012140857,1.0026546025573926,1.1656116055883585,-0.25032205431682353,15.85068581262243,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,short,2025-12-15 15:30:00+00:00,2025-12-22 12:00:00+00:00,659,0.20235141840146698,1.0118365486860101,1.221576089280369,-0.2914469380515662,20.439941610951198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,short,2025-10-30 20:15:00+00:00,2025-11-07 20:00:00+00:00,768,0.1917273495103522,0.9558340339112991,1.407070731053758,-0.26777868390075404,14.356348603189831,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
25,short,2025-07-29 22:30:00+00:00,2025-08-07 14:45:00+00:00,834,0.1792956736883483,0.9674836274384044,1.3998352902421232,-0.32044993999966453,15.284214675876305,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,short,2025-12-05 10:00:00+00:00,2025-12-12 12:30:00+00:00,683,0.1651022564803879,1.0352626881932283,1.2608006817377104,-0.2853824035728454,18.366545504793923,26,27,0,26,26,1,26,0,27,0,26,26,1,26,0,27,0,26,26,1,26,0
28,long,2025-08-22 20:00:00+00:00,2025-08-29 03:15:00+00:00,606,0.15439536926507347,1.1396976091872455,1.4782733916549669,-0.2068966629947102,17.69534740797619,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
